date,campaign,channel,category,region,customer_segment,device,impressions,clicks,conversions,new_customers,returning_customers,cost,revenue,ctr,conversion_rate,cpc,roas,profit
2026-05-05,Product Launch,Instagram,Technology,South,Returning Customers,Desktop,40412,1917,125,66,59,4212.2,246013.58,4.74,6.52,2.2,58.41,241801.38
2026-05-05,Enterprise Outreach,LinkedIn,B2B,East,Returning Customers,Desktop,25190,987,94,35,59,3464.65,59618.24,3.92,9.52,3.51,17.21,56153.59
2026-05-06,Summer Sale,Facebook,Retail,North,New Customers,Mobile,50206,3739,203,84,119,1668.7,418524.76,7.45,5.43,0.45,250.81,416856.06
2026-05-06,Search Growth,Google Ads,E-commerce,South,Small Business,Mobile,49077,1679,60,25,35,1082.04,32816.52,3.42,3.57,0.64,30.33,31734.48
2026-05-06,Creator Campaign,Instagram,Retail,East,High Value,Tablet,44834,2951,184,128,56,2115.04,245257.45,6.58,6.24,0.72,115.96,243142.41
2026-05-06,B2B Lead Generation,LinkedIn,B2B,West,Small Business,Desktop,63067,1741,73,42,31,1469.1,64709.26,2.76,4.19,0.84,44.05,63240.16
2026-05-06,Festive Offers,Google Ads,E-commerce,North,New Customers,Desktop,41595,1972,147,54,93,1366.23,280557.21,4.74,7.45,0.69,205.35,279190.98
2026-05-06,Brand Awareness,Facebook,Retail,West,High Value,Tablet,75926,2349,246,165,81,4529.46,532405.18,3.09,10.47,1.93,117.54,527875.72
2026-05-06,Product Launch,Instagram,Technology,South,High Value,Tablet,68294,4899,185,128,57,3600.44,249729.65,7.17,3.78,0.73,69.36,246129.21
2026-05-06,Enterprise Outreach,LinkedIn,B2B,East,New Customers,Desktop,37281,1793,153,82,71,1484.27,106272.99,4.81,8.53,0.83,71.6,104788.72
2026-05-07,Summer Sale,Facebook,Retail,North,New Customers,Mobile,72375,3405,203,126,77,2726.37,226154.61,4.7,5.96,0.8,82.95,223428.24
2026-05-07,Search Growth,Google Ads,E-commerce,South,Small Business,Tablet,50307,4121,461,260,201,4061.3,472355.4,8.19,11.19,0.99,116.31,468294.1
2026-05-07,Creator Campaign,Instagram,Retail,East,High Value,Mobile,49108,3597,271,174,97,3551.1,258607.8,7.32,7.53,0.99,72.82,255056.7
2026-05-07,B2B Lead Generation,LinkedIn,B2B,West,High Value,Tablet,24144,1610,171,66,105,1067.27,260803.14,6.67,10.62,0.66,244.36,259735.87
2026-05-07,Festive Offers,Google Ads,E-commerce,North,New Customers,Desktop,67342,5465,207,121,86,6098.02,383270.29,8.12,3.79,1.12,62.85,377172.27
2026-05-07,Brand Awareness,Facebook,Retail,West,High Value,Desktop,66326,4822,553,214,339,1724.62,819895.95,7.27,11.47,0.36,475.41,818171.33
2026-05-07,Product Launch,Instagram,Technology,South,New Customers,Tablet,30335,1786,141,92,49,3230.4,192409.39,5.89,7.89,1.81,59.56,189178.99
2026-05-07,Enterprise Outreach,LinkedIn,B2B,East,High Value,Mobile,56207,3064,251,99,152,3877.45,165542.98,5.45,8.19,1.27,42.69,161665.53
2026-05-08,Summer Sale,Facebook,Retail,North,High Value,Tablet,61936,3104,305,216,89,4706.29,315329.15,5.01,9.83,1.52,67.0,310622.86
2026-05-08,Search Growth,Google Ads,E-commerce,South,New Customers,Tablet,97455,4018,239,97,142,2982.57,173471.07,4.12,5.95,0.74,58.16,170488.5
2026-05-08,Creator Campaign,Instagram,Retail,East,Returning Customers,Desktop,53793,2582,243,160,83,3186.65,507443.53,4.8,9.41,1.23,159.24,504256.88
2026-05-08,B2B Lead Generation,LinkedIn,B2B,West,Returning Customers,Tablet,40761,1939,230,91,139,3316.2,486355.85,4.76,11.86,1.71,146.66,483039.65
2026-05-08,Festive Offers,Google Ads,E-commerce,North,High Value,Tablet,92971,3004,242,128,114,4592.25,114110.19,3.23,8.06,1.53,24.85,109517.94
2026-05-08,Brand Awareness,Facebook,Retail,West,High Value,Tablet,69213,2956,202,144,58,2540.8,197631.33,4.27,6.83,0.86,77.78,195090.53
2026-05-08,Product Launch,Instagram,Technology,South,New Customers,Desktop,61453,5212,565,221,344,2269.04,1081731.49,8.48,10.84,0.44,476.74,1079462.45
2026-05-08,Enterprise Outreach,LinkedIn,B2B,East,New Customers,Mobile,67449,4380,380,137,243,850.59,767527.21,6.49,8.68,0.19,902.35,766676.62
2026-05-09,Summer Sale,Facebook,Retail,North,New Customers,Mobile,58795,4210,184,67,117,6085.28,294118.63,7.16,4.37,1.45,48.33,288033.35
2026-05-09,Search Growth,Google Ads,E-commerce,South,New Customers,Mobile,20799,584,48,33,15,6138.6,41638.44,2.81,8.22,10.51,6.78,35499.84
2026-05-09,Creator Campaign,Instagram,Retail,East,Small Business,Desktop,61924,4995,491,179,312,3848.43,940984.5,8.07,9.83,0.77,244.51,937136.07
2026-05-09,B2B Lead Generation,LinkedIn,B2B,West,Returning Customers,Mobile,24106,783,57,39,18,3421.52,88493.68,3.25,7.28,4.37,25.86,85072.16
2026-05-09,Festive Offers,Google Ads,E-commerce,North,High Value,Desktop,87398,3197,162,96,66,4723.67,350788.06,3.66,5.07,1.48,74.26,346064.39
2026-05-09,Brand Awareness,Facebook,Retail,West,Returning Customers,Mobile,17178,1064,30,12,18,4449.51,50752.86,6.19,2.82,4.18,11.41,46303.35
2026-05-09,Product Launch,Instagram,Technology,South,New Customers,Desktop,80044,6707,459,265,194,4909.95,717745.0,8.38,6.84,0.73,146.18,712835.05
2026-05-09,Enterprise Outreach,LinkedIn,B2B,East,Returning Customers,Tablet,19413,1587,85,51,34,2605.86,142341.67,8.17,5.36,1.64,54.62,139735.81
2026-05-10,Summer Sale,Facebook,Retail,North,New Customers,Tablet,32212,1787,113,45,68,3571.21,74425.27,5.55,6.32,2.0,20.84,70854.06
2026-05-10,Search Growth,Google Ads,E-commerce,South,New Customers,Desktop,48404,2095,137,70,67,4904.2,213802.33,4.33,6.54,2.34,43.6,208898.13
2026-05-10,Creator Campaign,Instagram,Retail,East,New Customers,Mobile,74107,4468,246,132,114,829.43,290821.22,6.03,5.51,0.19,350.63,289991.79
2026-05-10,B2B Lead Generation,LinkedIn,B2B,West,High Value,Mobile,25535,1515,119,72,47,3255.69,188485.27,5.93,7.85,2.15,57.89,185229.58
2026-05-10,Festive Offers,Google Ads,E-commerce,North,Small Business,Tablet,38491,2230,147,81,66,4260.59,158929.1,5.79,6.59,1.91,37.3,154668.51
2026-05-10,Brand Awareness,Facebook,Retail,West,New Customers,Mobile,63226,4943,556,372,184,2805.69,756427.69,7.82,11.25,0.57,269.6,753622.0
2026-05-10,Product Launch,Instagram,Technology,South,Small Business,Mobile,59340,3242,116,43,73,1150.47,223124.62,5.46,3.58,0.35,193.94,221974.15
2026-05-10,Enterprise Outreach,LinkedIn,B2B,East,Returning Customers,Tablet,27033,1217,50,17,33,1655.02,87485.6,4.5,4.11,1.36,52.86,85830.58
2026-05-11,Summer Sale,Facebook,Retail,North,Small Business,Desktop,81554,3860,152,75,77,4300.84,100232.9,4.73,3.94,1.11,23.31,95932.06
2026-05-11,Search Growth,Google Ads,E-commerce,South,Small Business,Desktop,117290,9937,977,617,360,2960.03,1615385.32,8.47,9.83,0.3,545.73,1612425.29
2026-05-11,Creator Campaign,Instagram,Retail,East,High Value,Desktop,80201,2056,92,38,54,3059.4,67763.96,2.56,4.47,1.49,22.15,64704.56
2026-05-11,B2B Lead Generation,LinkedIn,B2B,West,High Value,Desktop,62177,5244,408,165,243,3782.03,890689.67,8.43,7.78,0.72,235.51,886907.64
2026-05-11,Festive Offers,Google Ads,E-commerce,North,Returning Customers,Mobile,89954,2680,259,106,153,3199.46,329272.43,2.98,9.66,1.19,102.92,326072.97
2026-05-11,Brand Awareness,Facebook,Retail,West,Small Business,Desktop,25712,2042,59,32,27,1635.92,56705.13,7.94,2.89,0.8,34.66,55069.21
2026-05-11,Product Launch,Instagram,Technology,South,Returning Customers,Desktop,76167,2288,110,67,43,5224.15,172235.82,3.0,4.81,2.28,32.97,167011.67
2026-05-11,Enterprise Outreach,LinkedIn,B2B,East,Small Business,Tablet,48948,3464,105,50,55,1844.79,146388.17,7.08,3.03,0.53,79.35,144543.38
2026-05-12,Summer Sale,Facebook,Retail,North,Returning Customers,Mobile,47799,3399,360,210,150,3747.6,735017.91,7.11,10.59,1.1,196.13,731270.31
2026-05-12,Search Growth,Google Ads,E-commerce,South,Small Business,Tablet,106339,4831,349,177,172,4388.54,221166.36,4.54,7.22,0.91,50.4,216777.82
2026-05-12,Creator Campaign,Instagram,Retail,East,High Value,Tablet,59064,2105,120,86,34,1538.71,59212.86,3.56,5.7,0.73,38.48,57674.15
2026-05-12,B2B Lead Generation,LinkedIn,B2B,West,High Value,Desktop,38892,1689,138,87,51,588.09,129242.34,4.34,8.17,0.35,219.77,128654.25
2026-05-12,Festive Offers,Google Ads,E-commerce,North,Small Business,Mobile,78787,4902,344,219,125,5008.11,698603.38,6.22,7.02,1.02,139.49,693595.27
2026-05-12,Brand Awareness,Facebook,Retail,West,High Value,Desktop,78516,5646,606,318,288,1122.93,1049424.52,7.19,10.73,0.2,934.54,1048301.59
2026-05-12,Product Launch,Instagram,Technology,South,High Value,Desktop,95825,7971,944,613,331,2291.85,1636960.78,8.32,11.84,0.29,714.25,1634668.93
2026-05-12,Enterprise Outreach,LinkedIn,B2B,East,Small Business,Desktop,30739,996,28,20,8,3323.44,36595.29,3.24,2.81,3.34,11.01,33271.85
2026-05-13,Summer Sale,Facebook,Retail,North,Small Business,Mobile,47272,2349,235,157,78,1328.56,334183.63,4.97,10.0,0.57,251.54,332855.07
2026-05-13,Search Growth,Google Ads,E-commerce,South,Small Business,Tablet,113875,8467,241,94,147,3360.11,128988.58,7.44,2.85,0.4,38.39,125628.47
2026-05-13,Creator Campaign,Instagram,Retail,East,High Value,Tablet,68590,4898,525,194,331,4036.81,972050.78,7.14,10.72,0.82,240.8,968013.97
2026-05-13,B2B Lead Generation,LinkedIn,B2B,West,High Value,Mobile,26072,1624,172,106,66,577.28,232303.43,6.23,10.59,0.36,402.41,231726.15
2026-05-13,Festive Offers,Google Ads,E-commerce,North,Returning Customers,Tablet,82768,6516,578,282,296,2116.87,1122688.11,7.87,8.87,0.32,530.35,1120571.24
2026-05-13,Brand Awareness,Facebook,Retail,West,Small Business,Mobile,71100,3052,247,174,73,2344.78,229943.13,4.29,8.09,0.77,98.07,227598.35
2026-05-13,Product Launch,Instagram,Technology,South,New Customers,Tablet,72543,3301,307,143,164,5033.24,674724.88,4.55,9.3,1.52,134.05,669691.64
2026-05-13,Enterprise Outreach,LinkedIn,B2B,East,New Customers,Desktop,34196,1135,90,52,38,4116.29,150888.76,3.32,7.93,3.63,36.66,146772.47
2026-05-14,Summer Sale,Facebook,Retail,North,Small Business,Desktop,62622,3432,129,55,74,2944.58,73212.88,5.48,3.76,0.86,24.86,70268.3
2026-05-14,Search Growth,Google Ads,E-commerce,South,Small Business,Tablet,22038,1150,98,71,27,3169.54,116195.47,5.22,8.52,2.76,36.66,113025.93
2026-05-14,Creator Campaign,Instagram,Retail,East,High Value,Mobile,50096,2107,232,165,67,1737.04,236489.15,4.21,11.01,0.82,136.14,234752.11
2026-05-14,B2B Lead Generation,LinkedIn,B2B,West,Returning Customers,Mobile,43772,3043,246,109,137,3069.21,239584.51,6.95,8.08,1.01,78.06,236515.3
2026-05-14,Festive Offers,Google Ads,E-commerce,North,New Customers,Desktop,32549,2521,130,86,44,3904.42,238674.18,7.75,5.16,1.55,61.13,234769.76
2026-05-14,Brand Awareness,Facebook,Retail,West,Returning Customers,Tablet,43090,2308,275,195,80,3544.26,515794.75,5.36,11.92,1.54,145.53,512250.49
2026-05-14,Product Launch,Instagram,Technology,South,New Customers,Tablet,55297,3247,112,62,50,4217.43,237648.49,5.87,3.45,1.3,56.35,233431.06
2026-05-14,Enterprise Outreach,LinkedIn,B2B,East,High Value,Mobile,35604,966,112,50,62,895.81,58451.5,2.71,11.59,0.93,65.25,57555.69
2026-05-15,Summer Sale,Facebook,Retail,North,Returning Customers,Tablet,106614,5966,326,164,162,1133.53,210368.01,5.6,5.46,0.19,185.59,209234.48
2026-05-15,Search Growth,Google Ads,E-commerce,South,New Customers,Mobile,26377,1764,78,40,38,2902.42,88898.17,6.69,4.42,1.65,30.63,85995.75
2026-05-15,Creator Campaign,Instagram,Retail,East,New Customers,Desktop,34911,2679,67,32,35,2982.24,87544.11,7.67,2.5,1.11,29.36,84561.87
2026-05-15,B2B Lead Generation,LinkedIn,B2B,West,Small Business,Desktop,37879,2721,285,127,158,1559.74,289092.11,7.18,10.47,0.57,185.35,287532.37
2026-05-15,Festive Offers,Google Ads,E-commerce,North,High Value,Tablet,91706,3548,200,106,94,5940.72,106999.25,3.87,5.64,1.67,18.01,101058.53
2026-05-15,Brand Awareness,Facebook,Retail,West,Small Business,Mobile,61529,2093,61,21,40,1227.05,125534.38,3.4,2.91,0.59,102.31,124307.33
2026-05-15,Product Launch,Instagram,Technology,South,New Customers,Tablet,83865,2653,222,130,92,2045.85,321038.88,3.16,8.37,0.77,156.92,318993.03
2026-05-15,Enterprise Outreach,LinkedIn,B2B,East,Small Business,Tablet,59030,1492,158,104,54,2753.83,116098.57,2.53,10.59,1.85,42.16,113344.74
2026-05-16,Summer Sale,Facebook,Retail,North,Returning Customers,Tablet,44200,3541,241,119,122,4315.72,523725.94,8.01,6.81,1.22,121.35,519410.22
2026-05-16,Search Growth,Google Ads,E-commerce,South,High Value,Mobile,102581,4524,456,235,221,4837.76,377851.84,4.41,10.08,1.07,78.1,373014.08
2026-05-16,Creator Campaign,Instagram,Retail,East,New Customers,Tablet,72907,1953,113,72,41,751.8,83575.2,2.68,5.79,0.38,111.17,82823.4
2026-05-16,B2B Lead Generation,LinkedIn,B2B,West,Small Business,Mobile,54484,3776,208,83,125,3977.67,309754.32,6.93,5.51,1.05,77.87,305776.65
2026-05-16,Festive Offers,Google Ads,E-commerce,North,High Value,Desktop,75055,2655,194,69,125,6279.6,88660.58,3.54,7.31,2.37,14.12,82380.98
2026-05-16,Brand Awareness,Facebook,Retail,West,New Customers,Desktop,80532,4838,179,101,78,4506.35,356329.13,6.01,3.7,0.93,79.07,351822.78
2026-05-16,Product Launch,Instagram,Technology,South,Returning Customers,Mobile,31543,884,72,49,23,2326.31,116016.25,2.8,8.14,2.63,49.87,113689.94
2026-05-16,Enterprise Outreach,LinkedIn,B2B,East,New Customers,Desktop,12271,745,34,20,14,3671.0,30393.04,6.07,4.56,4.93,8.28,26722.04
2026-05-17,Summer Sale,Facebook,Retail,North,Returning Customers,Mobile,65272,4285,402,298,104,4105.56,714450.04,6.56,9.38,0.96,174.02,710344.48
2026-05-17,Search Growth,Google Ads,E-commerce,South,Small Business,Mobile,62700,3503,91,46,45,6103.27,123796.64,5.59,2.6,1.74,20.28,117693.37
2026-05-17,Creator Campaign,Instagram,Retail,East,Small Business,Tablet,69270,3373,303,127,176,1346.15,646211.69,4.87,8.98,0.4,480.04,644865.54
2026-05-17,B2B Lead Generation,LinkedIn,B2B,West,High Value,Tablet,23972,1834,204,131,73,1374.65,259518.92,7.65,11.12,0.75,188.79,258144.27
2026-05-17,Festive Offers,Google Ads,E-commerce,North,Returning Customers,Desktop,72957,4087,390,225,165,4840.87,709870.29,5.6,9.54,1.18,146.64,705029.42
2026-05-17,Brand Awareness,Facebook,Retail,West,Returning Customers,Tablet,20561,1629,174,75,99,4077.78,108708.12,7.92,10.68,2.5,26.66,104630.34
2026-05-17,Product Launch,Instagram,Technology,South,New Customers,Desktop,54103,4531,275,139,136,4567.97,550893.59,8.37,6.07,1.01,120.6,546325.62
2026-05-17,Enterprise Outreach,LinkedIn,B2B,East,High Value,Desktop,29200,1796,144,104,40,1997.9,216447.24,6.15,8.02,1.11,108.34,214449.34
2026-05-18,Summer Sale,Facebook,Retail,North,New Customers,Mobile,24091,1147,71,44,27,1595.19,52186.78,4.76,6.19,1.39,32.72,50591.59
2026-05-18,Search Growth,Google Ads,E-commerce,South,Returning Customers,Mobile,54621,4494,216,151,65,1586.03,382024.72,8.23,4.81,0.35,240.87,380438.69
2026-05-18,Creator Campaign,Instagram,Retail,East,New Customers,Mobile,48310,1746,130,47,83,2800.98,117522.56,3.61,7.45,1.6,41.96,114721.58
2026-05-18,B2B Lead Generation,LinkedIn,B2B,West,New Customers,Mobile,40888,3375,293,132,161,2462.75,188607.36,8.25,8.68,0.73,76.58,186144.61
2026-05-18,Festive Offers,Google Ads,E-commerce,North,Small Business,Desktop,44218,3431,379,277,102,6239.82,822104.7,7.76,11.05,1.82,131.75,815864.88
2026-05-18,Brand Awareness,Facebook,Retail,West,High Value,Desktop,18347,610,32,22,10,3018.52,19830.76,3.32,5.25,4.95,6.57,16812.24
2026-05-18,Product Launch,Instagram,Technology,South,High Value,Desktop,49710,1735,85,49,36,1616.45,164975.06,3.49,4.9,0.93,102.06,163358.61
2026-05-18,Enterprise Outreach,LinkedIn,B2B,East,New Customers,Mobile,52600,2249,135,88,47,1982.48,240303.54,4.28,6.0,0.88,121.21,238321.06
2026-05-19,Summer Sale,Facebook,Retail,North,Small Business,Desktop,72302,2330,256,176,80,1418.28,233713.84,3.22,10.99,0.61,164.79,232295.56
2026-05-19,Search Growth,Google Ads,E-commerce,South,High Value,Tablet,38422,1913,129,89,40,2534.28,218387.85,4.98,6.74,1.32,86.17,215853.57
2026-05-19,Creator Campaign,Instagram,Retail,East,Returning Customers,Mobile,67478,3836,186,135,51,1781.27,136188.2,5.68,4.85,0.46,76.46,134406.93
2026-05-19,B2B Lead Generation,LinkedIn,B2B,West,Small Business,Desktop,65279,4676,346,195,151,2443.93,476461.0,7.16,7.4,0.52,194.96,474017.07
2026-05-19,Festive Offers,Google Ads,E-commerce,North,New Customers,Desktop,48418,1575,181,75,106,3465.81,383377.85,3.25,11.49,2.2,110.62,379912.04
2026-05-19,Brand Awareness,Facebook,Retail,West,New Customers,Mobile,50922,1907,93,66,27,759.84,61209.65,3.74,4.88,0.4,80.56,60449.81
2026-05-19,Product Launch,Instagram,Technology,South,High Value,Mobile,92021,4867,306,228,78,3578.36,237966.45,5.29,6.29,0.74,66.5,234388.09
2026-05-19,Enterprise Outreach,LinkedIn,B2B,East,High Value,Mobile,57279,3980,276,134,142,1075.36,568881.61,6.95,6.93,0.27,529.02,567806.25
2026-05-20,Summer Sale,Facebook,Retail,North,Returning Customers,Mobile,101862,7402,622,270,352,5164.83,1143772.12,7.27,8.4,0.7,221.45,1138607.29
2026-05-20,Search Growth,Google Ads,E-commerce,South,Small Business,Mobile,113782,5834,500,231,269,959.96,1094197.44,5.13,8.57,0.16,1139.84,1093237.48
2026-05-20,Creator Campaign,Instagram,Retail,East,Returning Customers,Desktop,42573,1393,54,38,16,3548.21,61431.64,3.27,3.88,2.55,17.31,57883.43
2026-05-20,B2B Lead Generation,LinkedIn,B2B,West,High Value,Tablet,31148,2135,146,78,68,3094.21,218922.16,6.85,6.84,1.45,70.75,215827.95
2026-05-20,Festive Offers,Google Ads,E-commerce,North,Returning Customers,Mobile,62579,2229,199,105,94,5474.96,103568.36,3.56,8.93,2.46,18.92,98093.4
2026-05-20,Brand Awareness,Facebook,Retail,West,Returning Customers,Tablet,73742,5160,615,289,326,2925.71,987070.39,7.0,11.92,0.57,337.38,984144.68
2026-05-20,Product Launch,Instagram,Technology,South,Returning Customers,Tablet,75445,5229,330,182,148,3736.4,564174.41,6.93,6.31,0.71,150.99,560438.01
2026-05-20,Enterprise Outreach,LinkedIn,B2B,East,Returning Customers,Mobile,62273,3123,270,142,128,1757.5,314354.03,5.02,8.65,0.56,178.86,312596.53
2026-05-21,Summer Sale,Facebook,Retail,North,New Customers,Tablet,92450,6013,524,251,273,4658.36,253925.83,6.5,8.71,0.77,54.51,249267.47
2026-05-21,Search Growth,Google Ads,E-commerce,South,Small Business,Mobile,40277,2887,308,123,185,2543.49,498570.7,7.17,10.67,0.88,196.02,496027.21
2026-05-21,Creator Campaign,Instagram,Retail,East,New Customers,Desktop,68818,2891,257,145,112,4816.09,206734.45,4.2,8.89,1.67,42.93,201918.36
2026-05-21,B2B Lead Generation,LinkedIn,B2B,West,High Value,Tablet,54083,4444,368,175,193,1539.61,568407.93,8.22,8.28,0.35,369.19,566868.32
2026-05-21,Festive Offers,Google Ads,E-commerce,North,Returning Customers,Desktop,62056,4103,111,65,46,3013.34,219939.65,6.61,2.71,0.73,72.99,216926.31
2026-05-21,Brand Awareness,Facebook,Retail,West,Returning Customers,Desktop,43465,3527,374,204,170,2021.97,524706.93,8.11,10.6,0.57,259.5,522684.96
2026-05-21,Product Launch,Instagram,Technology,South,Returning Customers,Mobile,83570,3313,370,274,96,5648.06,712551.57,3.96,11.17,1.7,126.16,706903.51
2026-05-21,Enterprise Outreach,LinkedIn,B2B,East,High Value,Desktop,53155,3767,367,163,204,2255.19,458306.42,7.09,9.74,0.6,203.22,456051.23
2026-05-22,Summer Sale,Facebook,Retail,North,Returning Customers,Mobile,75040,3036,244,165,79,3201.5,203251.77,4.05,8.04,1.05,63.49,200050.27
2026-05-22,Search Growth,Google Ads,E-commerce,South,New Customers,Mobile,107381,3764,96,65,31,3123.12,177181.82,3.51,2.55,0.83,56.73,174058.7
2026-05-22,Creator Campaign,Instagram,Retail,East,Small Business,Mobile,64116,2048,127,52,75,5218.66,99953.31,3.19,6.2,2.55,19.15,94734.65
2026-05-22,B2B Lead Generation,LinkedIn,B2B,West,High Value,Tablet,37368,2323,263,106,157,4326.35,150402.1,6.22,11.32,1.86,34.76,146075.75
